# created: Fri Mar  1 03:00:01 2024
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
3685|4|ja|(秘)劇画 浮世絵千一夜
8149|2|ja|[C]
8149|2|en|[C] - Control - The Money and Soul of Possibility
8149|4|en|[C] The Money of Soul and Possibility Control
17449|4|vi|[Đứa Con Của Thần Tượng]
667|2|x-jat|[El]
667|2|ja|[él]
3531|2|ja|[etʃiːz]
9977|3|x-jat|[UBW] 2014
10760|3|x-jat|[UBW] 2015
17449|4|th|[เกิดใหม่เป็นลูกโอชิ]
12922|2|ko|[넥슨/클로저스] 애니메이션
17449|4|ko|[최애의 아이]
17449|4|zh-Hans|[我推的孩子]
17449|4|zh-Hant|[我推的孩子]
17449|4|ja|[推しの子]
18086|4|ja|[推しの子] 2
16168|2|x-jat|{takt: op. Destiny}
18424|4|ja|〈物語〉シリーズ オフ＆モンスターシーズン
10143|4|ja|「0」
17490|4|ja|「2.43　清陰高校男子バレー部」ミニアニメ　バレーボール講座編
8149|4|zh-Hans|「C」
9043|4|zh-Hans|「K」
13066|4|ja|「Magical Music Train 」
4317|4|ja|「エイジ」
15157|4|ja|「宇宙戦艦ヤマト」という時代 西暦2202年の選択
12142|4|ja|「英雄」解体
18160|4|ja|『Fate/Grand Order』 Memorial Movie 2023
17129|4|ja|『あなたを一言で表してください』の質問が苦手だ.
1028|4|ja|『サクラ大戦』~神崎すみれ引退記念~「す・み・れ」
15460|4|ja|『はたらく細胞!!』最強の敵, 再び. 体の中は"腸"大騒ぎ!
11989|2|ja|【ゾンミちゃん】- ミートパイ オブ ザ デッド -
13933|4|ja|【ゾンミちゃん】ハロウィン☆スペシャルムービー!
17724|4|ja|【ブルアカ】1.5周年記念ショートアニメーション
17724|4|zh-Hans|【碧蓝档案】1.5周年纪念短篇动画
15249|1|x-jat|**** Kouhai
10932|4|ja|&lt;harmony/&gt;
14564|2|ja|&lt;Infinite Dendrogram&gt;
15798|1|x-jat|#Compass
17754|1|x-jat|#Compass 2.0: Sentou Setsuri Kaiseki System
17297|1|x-jat|#Ima Made de Ichiban Yokatta Sex The Animation
15798|4|ja|#コンパス
17754|4|ja|#コンパス2.0 戦闘摂理解析システム
17229|4|ja|#セカイが滅びる前にキミに会いたい
17297|4|ja|＃今までで一番良かったセックス THE ANIMATION
3067|2|tr|%100 Çilek
10250|4|ko|`84 태권V
10250|2|x-kot|`Pal-siip sa Taekwon V
18082|4|en|`Tis Time for "Torture," Princess
72|4|he|`איטמן 98
2369|4|he|`בליץ
11649|2|x-other|°
916|4|ja|∀GUNDAM
916|2|ja|∀GUNDAM CALLED TURN "A" GUNDAM
2813|2|x-unk|∀Gundam I: Earth Light
2812|2|ja|∀Gundam II
916|2|ja|∀ガンダム
2813|2|ja|∀ガンダムI 地球光
2812|2|ja|∀ガンダムII 月光蝶
8407|2|en|+tic Elder Sister
8407|3|x-jat|+ticneesan
3186|2|ar|+دم
8407|4|ja|+チック姉さん
8407|4|zh-Hans|+模型姐妹
2189|4|zh-Hans|×××HOLiC 仲夏夜之梦
6192|4|zh-Hans|×××HOLiC 春梦记
5570|4|zh-Hans|×××HOLiC◆继
2063|4|ja|~この支配からの卒業~ 尾崎豊
10875|4|fa|√A توکیو غول
11649|4|ja|○
15249|4|ko|○○교배
15249|4|ja|○○交配
10306|4|ja|☆ケロロ☆
4726|2|x-other|❄
2195|4|ja|0[ゼロ]テスター
2196|4|ja|0[ゼロ]テスター 地球を守れ!
11391|4|ja|00:08
11391|1|x-jat|00:08
11392|4|ja|001
11392|1|x-jat|001
9631|2|en|007 Boy and the Galaxy Raider
9632|2|en|007 Boy and the Underground Empire
8699|1|x-jat|009 Re:Cyborg
8699|4|en|009 Re:Cyborg
8699|4|ja|009 RE:CYBORG
8699|4|de|009 Re:Cyborg
7994|4|ja|009 THE REOPENING
4637|4|en|009-1
4637|4|pt-BR|009-1
4637|1|x-jat|009-1
4637|4|es-419|009-1
4637|4|ja|009-1
7994|1|x-jat|009: The Reopening
4637|3|x-jat|0091
6239|2|en|07 Ghost
6239|2|lt|07 vaiduokliai
6239|4|en|07-Ghost
6239|1|x-jat|07-Ghost
6239|4|ja|07-Ghost
6239|2|tr|07-Hayalet
6239|2|fa|07-روح
6239|3|x-jat|07ghost
2195|2|ja|0テスター
2196|2|ja|0テスター 地球を守れ!
5121|4|ja|0戦はやと
13813|2|en|1 Day Outside Pass Foreman
3978|1|x-jat|1+2=Paradise
3978|4|ja|1+2=パラダイス
2170|2|en|10 Chikan Association
2854|4|en|10 Tokyo Warriors
2867|4|en|10 Tokyo Warriors (2001)
2854|2|en|10 Warriors of Tokyo
10174|1|x-jat|100 Banme no Saru
8766|1|x-jat|100 Byou Cinema: Robo to Shoujo (Kari)
17906|2|en|100 Girlfriends
1001|2|lt|100 Istorijų
17906|2|x-jat|100 Kanojo
15455|1|x-jat|100 Nichikan Ikita Wani
17906|4|id|100 Pacar yang Sungguh Sangat Amat Benar-benar Mencintaimu
12362|4|en|100 Sleeping Princes & the Kingdom of Dreams
1001|2|en|100 Stories
15415|3|en|100-man
15415|1|x-jat|100-man no Inochi no Ue ni Ore wa Tatte Iru
15930|1|x-jat|100-man no Inochi no Ue ni Ore wa Tatte Iru (2021)
15930|3|en|100-man S2
18369|2|en|100.000 Years of Refining Qi
5308|3|x-jat|100%
3067|4|it|100% Fragola
3067|2|pt|100% Morango
13560|1|x-jat|100% Pascal-sensei
12410|1|x-jat|100% Pascal-sensei (2017)
12410|4|en|100% Teacher Pascal
3067|2|ru|100% Клубничка
3067|2|ar|100% فراولة
5308|4|ja|100%[A Hundred Percents]
13560|4|ja|100%パスカル先生
12410|4|ja|100%パスカル先生 (2017)
12410|4|zh-Hans|100%帕斯卡老师
764|1|x-jat|1000-nen Joou
5996|2|en|1000% for That Girl
13149|4|en|10000 Years Later
16343|1|x-jat|10000-Kounen Sougankyou
16343|4|ja|10000光年双眼鏡
764|4|ja|1000年女王 Queen Millennia
5499|1|x-jat|1001 Nights
5499|4|ja|1001 Nights
5499|2|ja|1001 Nights~ワン・サウザンド・ワン・ナイツ~
15415|3|x-jat|100man
15930|3|x-jat|100man s2
15455|3|x-jat|100wani
17906|3|ja|100カノ
10174|4|ja|100ばんめのサル
15415|4|ja|100万の命の上に俺は立っている
15930|4|ja|100万の命の上に俺は立っている (2021)
17469|4|ja|100万円あったら、どうする?
2991|4|ja|100万年地球の旅バンダーブック
15455|4|ja|100日間生きたワニ
8766|4|ja|100秒シネマ ロボと少女(仮)
15576|2|x-zht|1031 Wan Sheng Jie
13038|3|x-jat|10cm
17591|2|ja|10周年記念アニメーション「ETERNITY MEMORIES」
6751|2|lt|11 akių
6985|4|it|11 campioni
6751|1|x-jat|11 Eyes
6751|4|en|11 Eyes
4945|4|de|11 hungrige Katzen und ein Albatros
4944|4|fi|11 nälkäistä kissaa
1869|2|x-jat|11 Nin Iru!
6751|2|ru|11 глаз
6751|2|fa|11 چشم
1869|2|x-jat|11-nin Iru!
4944|1|x-jat|11-piki no Neko
4945|1|x-jat|11-piki no Neko to Ahoudori
6751|4|ja|11eyes
6751|2|zh-Hant|11eyes -罪與罰與贖的少女-
6751|2|x-jat|11eyes: Tsumi to Batsu to Aganai no Shoujo
1869|4|ko|11인이 있다
4944|4|ja|11ぴきのねこ
4945|4|ja|11ぴきのねことあほうどり
1869|4|ja|11人いる!
10584|4|fr|12 Ans.
3398|2|vi|12 Con Giáp
10925|4|es|12 con ritmo
5726|2|en|12 Female Teachers
2234|4|hu|12 hónap
26|2|ro|12 Împărăţii
26|2|lt|12 Karalysčių
26|2|en|12 Kingdoms
26|4|de|12 Kingdoms - Juuni Kokki
26|2|x-jat|12 Kokuki
26|2|tr|12 Krallık
26|2|pl|12 królestw
2234|4|pl|12 Miesięcy
2367|4|sv|12 skeppsbrutna pojkar på äventyrens ö
26|2|th|12 อาณาจักรเทพยุทธ์
11302|2|x-jat|12-gatsu no Uta
10584|1|x-jat|12-sai.
11899|1|x-jat|12-sai. Chicchana Mune no Tokimeki
12198|1|x-jat|12-sai. Chicchana Mune no Tokimeki (2016)
12198|4|en|12-Sai. Chicchana Mune no Tokimeki 2nd Season
26|3|en|12K
3398|3|x-jat|12sber
5726|2|ko|12인의 여교사
10584|2|ja|12さい.
11899|4|zh-Hans|12岁。小小的胸口心跳加速
12198|4|zh-Hans|12岁。小小的胸口心跳加速 第二季
11302|4|ja|12月のうた
10584|4|ja|12歳.
11899|4|ja|12歳. ~ちっちゃなムネのトキメキ~
12198|4|ja|12歳. ~ちっちゃなムネのトキメキ~ (2016)
656|4|fr|13 vies - Une vision du Japon
2645|2|zh-Hans|14番的目的
6675|1|x-jat|15 Bishoujo Hyouryuuki
9629|2|en|15 Children Space Adventure
9629|1|x-kot|15 Sonyeon Uju Pyoryugi
6675|2|ko|15 미소녀 표류기
14129|1|x-jat|15-sai, Kyou kara Dousei Hajimemasu.
9629|4|ko|15소년 우주 표류기
5211|4|zh-Hans|15名动画人
14129|4|ja|15歳, 今日から同棲はじめます.
6675|4|ja|15美少女漂流記
17802|1|x-jat|16bit Sensation: Another Layer
17802|4|en|16bit Sensation: Another Layer
17802|4|zh-Hans|16bit 的感动 ANOTHER LAYER
17802|4|zh-Hant|16bit 的感動 ANOTHER LAYER
17802|4|ja|16bitセンセーション ANOTHER LAYER
12576|4|en|18 If
12576|1|x-jat|18 If
12576|2|uk|18-і
12576|4|zh-Hans|18：与你相连的拼图游戏
16285|1|x-jat|180 Byou de Kimi no Mimi o Shiawase ni Dekiruka?
16285|3|x-jat|180kimimimi
16285|4|ja|180秒で君の耳を幸せにできるか?
12576|4|ja|18if
11393|4|ja|1989
11393|1|x-jat|1989
3370|2|en|19th-Century Boy Takamaru
18008|1|x-jat|1LDK + JK Ikinari Doukyo? Micchaku!? Hatsu Ecchi!!?
18008|2|ko|1LDK+JK 갑자스레 동거? 밀착!? 첫 섹스!!?
18008|4|ja|1LDK+J系 いきなり同居?密着!? 初エッチ!!?
69|3|x-jat|1P
11123|3|x-jat|1PM
4401|3|en|1st squad
2900|4|ja|1ポンドの福音
13813|2|ja|1日外出録ハンチョウ
2769|4|ja|1月にはChristmas
2367|2|fr|2 ans de vacances
1769|2|en|2 X 2 = The Legend of Shinobu
772|4|he|2 סטריט פייטר
10553|2|he|2 ספייס דנדי
17491|1|x-jat|2.43 Mini Anime: Fukui-ben Kouza
17492|1|x-jat|2.43 Mini Anime: Inside Story
